date,runs,opposition,ground
2001-07-09,11,Kenya,Nairobi (Gym)
2002-07-09,1,Pakistan,Nairobi (Gym)
2013-07-09,10,West Indies,Johannesburg
2015-07-09,8,South Africa,Cape Town
2016-07-09,32,Australia,Cape Town
2018-07-09,3,Sri Lanka,Johannesburg
2020-07-09,3,Pakistan,Cape Town
2020-08-04,23,Pakistan,Karachi
2005-08-11,25,South Africa,Johannesburg
2006-09-06,15,India,Nottingham
2008-09-06,22,Ireland,Nottingham
2002-09-08,7,West Indies,Basseterre
2003-10-02,14,New Zealand,Hamilton
2001-10-05,19,Pakistan,Gros Islet
2011-11-10,11,West Indies,Dhaka
2018-12-07,31,Ireland,Belfast
2020-12-07,0,Ireland,Belfast
2021-12-07,39,Ireland,Belfast
2024-12-07,26,Scotland,The Hague
2025-12-07,69,Netherlands,The Hague
2026-12-07,50,Netherlands,The Hague
2021-12-09,0,New Zealand,Pallekele
2025-12-09,24,Pakistan,Pallekele
2010-12-12,88,West Indies,Dhaka
2011-05-13,2,Zimbabwe,Bulawayo
2012-05-13,43,Zimbabwe,Bulawayo
2012-02-14,30,Sri Lanka,Chattogram
2014-02-14,2,Sri Lanka,Chattogram
2016-03-14,21,Afghanistan,Dhaka
2018-03-14,30,Nepal,Chattogram
2020-03-14,0,Hong Kong,Chattogram
2025-03-14,5,West Indies,Dhaka
2028-03-14,6,India,Dhaka
2030-03-14,16,Pakistan,Dhaka
2001-04-14,5,Australia,Dhaka
2027-08-14,11,West Indies,Basseterre
2024-04-15,14,Pakistan,Dhaka
2005-07-15,5,South Africa,Dhaka
2007-07-15,13,South Africa,Dhaka
2013-11-15,31,Zimbabwe,Dhaka
2015-11-15,21,Zimbabwe,Dhaka
2015-01-16,29,Zimbabwe,Khulna
2017-01-16,23,Zimbabwe,Khulna
2022-01-16,1,Zimbabwe,Khulna
2002-03-16,7,Pakistan,Dhaka
2006-03-16,13,India,Dhaka
2009-03-16,83,Netherlands,Dharamsala
2011-03-16,47,Ireland,Dharamsala
2013-03-16,103,Oman,Dharamsala
2016-03-16,24,Pakistan,Kolkata
2023-03-16,35,India,Bengaluru
2026-03-16,3,New Zealand,Kolkata
2003-01-17,11,New Zealand,Napier
2006-01-17,13,New Zealand,Mount Maunganui
2008-01-17,24,New Zealand,Mount Maunganui
2004-04-17,0,Sri Lanka,Colombo (RPS)
2012-09-17,18,Pakistan,Lahore
2013-09-17,23,Pakistan,Lahore
2015-09-17,14,Pakistan,Lahore
2018-02-18,29,Sri Lanka,Sylhet
2008-03-18,15,India,Colombo (RPS)
2010-03-18,47,Sri Lanka,Colombo (RPS)
2014-03-18,27,India,Colombo (RPS)
2016-03-18,50,Sri Lanka,Colombo (RPS)
2018-03-18,15,India,Colombo (RPS)
2031-05-18,2,West Indies,Lord's
2003-06-18,0,Afghanistan,Dehradun
2005-06-18,43,Afghanistan,Dehradun
2007-06-18,5,Afghanistan,Dehradun
2031-07-18,0,West Indies,Basseterre
2004-08-18,74,West Indies,Lauderhill
2005-08-18,21,West Indies,Lauderhill
2017-12-18,5,West Indies,Sylhet
2020-12-18,15,West Indies,Dhaka
2022-12-18,8,West Indies,Dhaka
2024-01-20,39,Pakistan,Lahore
2025-01-20,65,Pakistan,Lahore
